Name,Department,Faculty,Profile_Link
Mr. W.M.P. Hulugalla,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=218
Ms.K.L.P. Subhashini,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=223
Ms. K.H.S. Sirisena,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=220
Ms. M.A.G.H. Kumarajeewa,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=221
Ms. T.H.N. Prathibha,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=222
Ms. D.S.D.D.S. Wickramasinghe,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=219
Ms. A.M. Wickramasinghe,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=226
Mr. A.N. Dodantenna,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=224
Mr. M.K.H.M. Dias,Department of Animal Science,Faculty of Agriculture,http://agri.pdn.ac.lk/ansc/staff_profile?xqrt=225
Dr. W.M.T.P. Ariyarathne,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=109
Prof. W.A.J.M. De Costa,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=90
Prof. P.W.M.B. Marambe,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=91
Prof. S. Samitha,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=92
Prof. D.K.N.G. Pushpakumara,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=94
Prof. W.A.P. Weerakkody,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=93
Prof. T. Sivananthawerl,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=95
Prof. N.A.A.S.P. Nissanka,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=96
Prof. B.M.L.D.B. Suriyagoda,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=102
Prof. J.P. Eeswara,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=97
Dr. D.R.R.M. Fonseka,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=108
Dr. H.M.G.S.B. Hitinayake,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=100
Dr. B.L. Peiris,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=98
Dr. A.J. Mohotti,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=99
Dr. C.K. Beneragama,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=101
Dr. R.H.G. Ranil,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=110
Dr. K.W.L.K. Weerasinghe,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=103
Mr. D.M.S.B. Dissanayaka,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=104
Mr. L.M. Rankoth,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=111
Ms. L.V.Y. Weerarathne,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=105
Mr. H.G.J.J. Kumara,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=106
Ms. H.M.P.C. Kumarihami,Department of Crop Science,Faculty of Agriculture,http://agri.pdn.ac.lk/crsc/staff_profile?xqrt=107
Dr. B.E.P. Mendis,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=129
Prof. U. Samarajeewa,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=252
Prof. D.C.K.Illeperuma,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=123
Prof. W.M.T. Madhujith,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=126
Prof. D.G.N.G.Wijesinghe,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=122
Prof. K.M.S.Wimalasiri,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=124
Mr. P.C. Arampath,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=125
Dr. B.D.R. Prasantha,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=127
Dr. R.P.N.P. Rajapakse,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=128
Mr. N.Y.Jayanath,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=267
Miss. J. Brasathe,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=132
Miss. M. Harthika,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=254
Miss. S. M. D. Demini,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=253
Miss. W. D. N. Wickramasinghe,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=257
Miss. W. A. S. T. Wickramasinghe,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=258
Miss. N. H. G. T. Madushani,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=255
Miss. M. Mahendranathan,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=259
Miss. S. M. K. Rathnayake,Department of Food Science and Technology,Faculty of Agriculture,http://agri.pdn.ac.lk/fods/staff_profile?xqrt=256
Dr. W.S. Dandeniya,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=78
Prof. K.A. Nandasena,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=75
Prof. R.M.C.P. Rajapaksha,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=76
Dr. W.A.U. Vitharana,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=77
Dr. R.S. Dharmakeerthi,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=81
Dr. A.M.C.P.K. Attanayake,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=79
Ms. P.D.B.J. Palihakkara,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=20
Mr. V.G.D. Nayanaka,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=118
Ms. H.G.K. Hiranthika,Department of Soil Scince,Faculty of Agriculture,http://agri.pdn.ac.lk/sosc/staff_profile?xqrt=119
Dr. Malka P.S. Mudalige,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Dr_Malka_Mudalige
Prof. H.M.T.U. Herath,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Dr_H.M.T.U_Herath.php
Dr. M.D.M.L.D.K. Yatawara,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Dr.M.D.M.L.D.K.Yatawara.php
Dr. R.P. Illeperuma,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Dr.%20R.P.%20Illeperuma.php
Dr. K.L.T.D Jayawardene,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Dr.K.L.T.DJayawardene.php
Dr. W. Kudagammana,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Dr.W.Kudagammana.php
Ms Charitha Mendis,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Ms.B.C.G.Mendis.php
Ms Shyamali Thilakarathne,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Ms.S.Thilakarathne.php
Ms. R.M.H. Rathnayake,Department of Medical Laboratory Science,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/ML_Sciences/acd_staff/Ms.R.M.H.%20Rathnayake.php
Prof. D.B.Mahinda Wickamarathne,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Prof.%20D.B.Mahinda%20Wickamarathne.php
Dr. A.C.M Fahim,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Dr.%20A.C.M%20Fahim.php
Dr.H.M.D.R Herath,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Dr.H.M.D.R%20Herath.php
Ms. M.H.F.Sakeena,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Ms.%20M.H.F.Sakeena.php
Dr. Lochana Menikarachchi,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Dr.%20Lochana%20Menikarachchi.php
Dr. N.R. Amarasinghe,Department of Pharmacy,Faculty of Allied Health Sciences,target='_blank'
Dr. L.C.P.T.Liyanaarachchie,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Ms.%20L.C.P.T.Liyanaarachchie.php
Dr. Imalka U.P.K Tennakoon,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Dr.%20Imalka%20U.P.K%20Tennakoon.php
Ms. S.H.Thilini Sudeshika,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Ms.%20S.H.Thilini%20Sudeshika.php
Ms. Dhakshila Niyangoda,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Ms.%20Dhakshila%20Niyangoda.php
Ms. Ruwani Suraweera,Department of Pharmacy,Faculty of Allied Health Sciences,target='_blank'
Mr. N.M.Y Bagyawantha,Department of Pharmacy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Pharmacy_/acd_staff/Mr.%20N.M.Y%20Bagyawantha.php
Mr. A.L.I Prasanna,Department of Physiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Physiotherapy_/acd_staff/Mr.%20A.L.I%20Prasanna.php
Ms. Surangika Imanthi Wadugodapitiya,Department of Physiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Physiotherapy_/acd_staff/Ms.%20S.I.%20Wadugodapitiya.php
Ms. Esther Isaiah Liyanage,Department of Physiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Physiotherapy_/acd_staff/Ms.%20Esther%20Isaiah%20Liyanage.php
Ms. Thusharika Dilrukshi Dissanayake,Department of Physiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Physiotherapy_/acd_staff/Ms.%20T.D.%20Dissanayake.php
Ms. Ishanka Weerasekara,Department of Physiotherapy,Faculty of Allied Health Sciences,target='_blank'
Mr. Mayooran Sithravelayuthan,Department of Physiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Physiotherapy_/acd_staff/Mr.%20Mayooran%20Sithravelayuthan.php
Ms. Dilhari Senarath,Department of Physiotherapy,Faculty of Allied Health Sciences,target='_blank'
Ms. V.V. Senadheera,Department of Physiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Physiotherapy_/acd_staff/Ms.%20V.V.%20Senadheera.php
Ms. V.M.B.K.T.Malwanage,Department of Physiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Physiotherapy_/acd_staff/Ms.%20V.M.B.K.T.Malwanage.php
Dr. Malshani L.Pathirathna,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Mrs._MLPathirathna.php
Dr. H.D.W.T. Dasanayake,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Mrs_HDWT_Dasanayake
Mr. Sarath Rathnayakee,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Mr_Sarath_Rathnayake
Mrs. A.M.S. Deepanie,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Mrs_AMS_Deepanie
Ms. A.Y.R. Athukorala,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Ms_AYR._Athukorala.php
Mrs. Nadeeka Gunarathana,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Mrs_Nadeeka_Gunarathana
Mr. Chaminda Rathnayake,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Mr_Chaminda_Rathnayake
Mrs. Jeewanthi Ekanayaka,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Mrs_Jeewanthi_Ekanayaka
Mrs. P.A.D Perera,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Mrs_PAD_Perera
Ms. Anuradha Rathnayake,Department of Nursing,Faculty of Allied Health Sciences,target='_blank'
Ms. H.M.R.K.G.Nandasena,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Ms.%20H.M.R.K.G.Nandasena.php
Ms. A.M.M.P.Atapattu,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Ms.%20A.M.M.P.Atapattu%20.php
Ms. B.R.G.T.K. Weerasingha,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/B.Weerasingha.php
Ms. Sujeewa Dilhani Maithreepala,Department of Nursing,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Nur/acd_staff/Ms.%20SD%20Maithreepala.php
Dr. Sunil Kulathunga,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Rad/acd_staff/Dr.%20Sunil%20Kulathunga.php
Dr. M.A.J.C. Marasinghe,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Rad/acd_staff/Dr.%20M.A.J.C.%20Marasinghe.php
Dr. Mohan Lal Jayatilake,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Rad/acd_staff/Dr.%20Mohan%20Lal%20Jayatilake.php
Dr. U.J.M.A.L. Jayasinghe,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Rad/acd_staff/Dr.%20U.J.M.A.L.%20Jayasinghe.php
Dr. Bimali Sanjeevani Weerakoon,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Rad/acd_staff/Dr.%20B.S%20Weerakoon.php
Mrs. U.M.U.W.Jayasekara,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Rad/acd_staff/Mrs.%20U.M.U.W.Jayasekara.php
Ms. M.G.R.S.Perera,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,target='_blank'
Ms. L.P. Givanthika Sherminie,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Rad/acd_staff/Ms_LP_Givanthika_Sherminie
Mr. L.Thasanthan,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,target='_blank'
Ms. Lakmini Udayangani Chandrasiri,Department of Radiography/Radiotherapy,Faculty of Allied Health Sciences,http://ahs.pdn.ac.lk/dept_and_unit/Rad/acd_staff/Ms.%20I.L.U%20Chadrasiri.php
Mr. M.L.M.Haniffa,Department of Arabic and Islamic Civilization,Faculty of Arts,http://arts.pdn.ac.lk//arabic/staff/haneefa.html
Mr. M.S.A.Barie,Department of Arabic and Islamic Civilization,Faculty of Arts,http://arts.pdn.ac.lk//arabic/staff/barie.html
Dr. M.Z.M. Nafeel,Department of Arabic and Islamic Civilization,Faculty of Arts,http://arts.pdn.ac.lk//arabic/staff/nafeel.html
Mr.M.A.M.Yaseer,Department of Arabic and Islamic Civilization,Faculty of Arts,http://arts.pdn.ac.lk//arabic/staff/yaseer.html
Dr. M.S.M. Saleem,Department of Arabic and Islamic Civilization,Faculty of Arts,http://arts.pdn.ac.lk//arabic/staff/saleem.html
Mr.S.M.Thameem,Department of Arabic and Islamic Civilization,Faculty of Arts,target='_blank'
